State,Urban,Rural,Total
 Alabama,2821804,1957932,4779753
 Alaska,468893,241342,710235
 Arizona,5740659,651358,6392017
 Arkansas,1637589,1278329,2915919
 California,35373606,1880350,37253956
 Colorado,4332761,696435,5029196
 Connecticut,3144942,429155,3574097
 Delaware,747949,149985,897934
 District of Columbia,601723,0,601767
 Florida,17139844,1661466,18801332
 Georgia,7272151,2415502,9687850
 Hawaii,1250489,109812,1360301
 Idaho,1106370,461212,1567652
 Illinois,11353553,1477079,12830632
 Indiana,4697100,1786702,6483802
 Iowa,1950256,1096099,3046355
 Kansas,2116961,736157,2853118
 Kentucky,2533343,1806024,4339367
 Louisiana,3317805,1215567,4533372
 Maine,513542,814819,1328361
 Maryland,5034331,739221,5773626
 Massachusetts,6021989,525640,6547629
 Michigan,7369957,2513683,9883706
 Minnesota,3886311,1417614,5303925
 Mississippi,1464224,1503073,2967297
 Missouri,4218371,1770556,5988927
 Montana,553014,436401,989415
 Nebraska,1335686,490655,1826341
 Nevada,2543797,156754,2700551
 New Hampshire,793872,522598,1316470
 New Jersey,8324126,467768,8791909
 New Mexico,1594361,464818,2059181
 New York,17028105,2349997,19378102
 North Carolina,6301756,3233727,9535483
 North Dakota,402872,269719,672591
 Ohio,8989694,2546810,11536504
 Oklahoma,2485029,1266322,3751351
 Oregon,3104382,726692,3831074
 Pennsylvania,9991287,2711092,12702379
 Rhode Island,955043,97524,1052567
 South Carolina,3067809,1557555,4625364
 South Dakota,461247,352933,814191
 Tennessee,4213245,2132860,6346105
 Texas,21298039,3847522,25145565
 Utah,2503595,260290,2763885
 Vermont,243385,382356,625741
 Virginia,6031000,1963802,7994802
 Washington,5651869,1072671,6724540
 West Virginia,902810,950184,1852994
 Wisconsin,3989638,1697348,5686986
 Wyoming,364993,198633,563626
Grand Total,249247177,59492143,308739843
