Asian Age Group,Covid Jan,Covid Feb,Covid March,Covid April,Covid May,Covid June,Covid July,Covid Aug,Total Covid Deaths,All Cause Jan,All Cause Feb,All Cause March,All Cause April,All Cause May,All Cause June,All Cause July,All Cause Aug,Total Deaths
0-4 years,0,0,0,0,0,0,0,0,0,32,34,33,23,30,19,33,14,218
15-24 years,0,0,0,0,0,0,0,0,0,43,41,51,38,47,37,38,34,329
25-34 years,0,0,0,14,0,0,0,0,14,91,91,57,106,86,81,97,47,656
35-44 years,0,0,0,33,18,10,0,0,61,124,114,144,140,151,138,120,99,1030
45-54 years,0,0,23,122,65,19,19,13,261,211,212,250,343,325,230,226,188,1985
5-14 years,0,0,0,0,0,0,0,0,0,0,11,0,0,10,0,0,0,21
55-64 years,0,0,41,368,129,48,87,32,705,431,412,512,832,537,438,486,282,3930
65-74 years,0,0,85,524,252,92,107,71,1131,712,632,805,1276,851,667,721,527,6191
75-84 years,0,0,56,519,220,90,112,102,1099,847,839,992,1496,984,833,869,712,7572
85 years and over,0,0,52,370,191,76,90,65,844,938,908,1068,1453,1035,873,876,689,7840
